"DATA_LECTURA","DATA_EXTREM","CODI_ESTACIO","ACRÒNIM","VALOR"
2022-01-01,NA,"D5","TM",17.8
2022-01-01,"13:37:00","D5","TX",21.9
2022-01-01,"23:59:00","D5","TN",14.8
2022-01-01,NA,"D5","HRM",33
2022-01-01,"15:32:00","D5","HRX",62
2022-01-01,"02:47:00","D5","HRN",20
2022-01-01,NA,"D5","PM",978
2022-01-01,"10:35:00","D5","PX",978.9
2022-01-01,"14:44:00","D5","PN",977
2022-01-01,NA,"D5","PPT",0
2022-01-01,NA,"D5","RS24h",9.3
2022-01-01,NA,"D5","VVM10",4.6
2022-01-01,NA,"D5","DVM10",290
2022-01-01,"09:54:00","D5","VVX10",9.6
2022-01-01,"09:54:00","D5","DVVX10",309
2022-01-01,NA,"X2","TM",11.2
2022-01-01,"14:32:00","X2","TX",16.4
2022-01-01,"07:06:00","X2","TN",6.6
2022-01-01,NA,"X2","HRM",84
2022-01-01,"22:30:00","X2","HRX",97
2022-01-01,"10:01:00","X2","HRN",56
2022-01-01,NA,"X4","TM",12.4
2022-01-01,"14:46:00","X4","TX",18
2022-01-01,"07:27:00","X4","TN",8.5
2022-01-01,NA,"X4","HRM",77
2022-01-01,"23:30:00","X4","HRX",100
2022-01-01,"09:56:00","X4","HRN",52
2022-01-01,NA,"X4","PM",1022.9
2022-01-01,"23:38:00","X4","PX",1024
2022-01-01,"14:44:00","X4","PN",1021.5
2022-01-01,NA,"X4","PPT",0
2022-01-01,NA,"X4","RS24h",9.2
2022-01-01,NA,"X4","VVM10",1.4
2022-01-01,NA,"X4","DVM10",257
2022-01-01,"10:29:00","X4","VVX10",4.6
2022-01-01,"10:29:00","X4","DVVX10",261
2022-01-01,NA,"X8","TM",11
2022-01-01,"14:04:00","X8","TX",17.9
2022-01-01,"05:28:00","X8","TN",5.7
2022-01-01,NA,"X8","HRM",85
2022-01-01,"23:30:00","X8","HRX",100
2022-01-01,"11:04:00","X8","HRN",47
2022-01-01,NA,"X8","PM",1017
2022-01-01,"23:53:00","X8","PX",1018.1
2022-01-01,"14:47:00","X8","PN",1015.8
2022-01-01,NA,"X8","PPT",0.3
2022-01-01,NA,"X8","RS24h",8.9
2022-01-01,NA,"X8","VVM10",1
2022-01-01,NA,"X8","DVM10",34
2022-01-01,"00:01:00","X8","VVX10",4.4
2022-01-01,"00:01:00","X8","DVVX10",258
2022-01-02,NA,"D5","TM",13.5
2022-01-02,"03:16:00","D5","TX",16.6
2022-01-02,"21:18:00","D5","TN",9.4
2022-01-02,NA,"D5","HRM",59
2022-01-02,"21:14:00","D5","HRX",99
2022-01-02,"03:15:00","D5","HRN",25
2022-01-02,NA,"D5","PM",978.6
2022-01-02,"21:20:00","D5","PX",979.6
2022-01-02,"14:31:00","D5","PN",977.7
2022-01-02,NA,"D5","PPT",0
2022-01-02,NA,"D5","RS24h",9.3
2022-01-02,NA,"D5","VVM10",2.3
2022-01-02,NA,"D5","DVM10",260
2022-01-02,"03:30:00","D5","VVX10",8.4
2022-01-02,"03:30:00","D5","DVVX10",298
2022-01-02,NA,"X2","TM",11.5
2022-01-02,"12:19:00","X2","TX",14.9
2022-01-02,"08:03:00","X2","TN",7.1
2022-01-02,NA,"X2","HRM",86
2022-01-02,"23:58:00","X2","HRX",96
2022-01-02,"09:56:00","X2","HRN",58
2022-01-02,NA,"X4","TM",12.4
2022-01-02,"13:49:00","X4","TX",15.8
2022-01-02,"03:45:00","X4","TN",9.6
2022-01-02,NA,"X4","HRM",83
2022-01-02,"03:00:00","X4","HRX",100
2022-01-02,"09:48:00","X4","HRN",54
2022-01-02,NA,"X4","PM",1023.9
2022-01-02,"09:47:00","X4","PX",1025.1
2022-01-02,"14:30:00","X4","PN",1022.7
2022-01-02,NA,"X4","PPT",0
2022-01-02,NA,"X4","RS24h",8.7
2022-01-02,NA,"X4","VVM10",1.2
2022-01-02,NA,"X4","DVM10",227
2022-01-02,"10:24:00","X4","VVX10",5.8
2022-01-02,"10:24:00","X4","DVVX10",256
2022-01-02,NA,"X8","TM",10.8
2022-01-02,"13:27:00","X8","TX",15.6
2022-01-02,"03:53:00","X8","TN",5.5
2022-01-02,NA,"X8","HRM",87
2022-01-02,"23:30:00","X8","HRX",100
2022-01-02,"09:34:00","X8","HRN",57
2022-01-02,NA,"X8","PM",1018
2022-01-02,"10:18:00","X8","PX",1019.2
2022-01-02,"14:30:00","X8","PN",1016.9
2022-01-02,NA,"X8","PPT",0
2022-01-02,NA,"X8","RS24h",8.3
2022-01-02,NA,"X8","VVM10",1.3
2022-01-02,NA,"X8","DVM10",265
2022-01-02,"05:38:00","X8","VVX10",4.4
2022-01-02,"05:38:00","X8","DVVX10",303
2022-01-03,NA,"D5","TM",13.6
2022-01-03,"14:17:00","D5","TX",16.9
2022-01-03,"06:08:00","D5","TN",12.1
2022-01-03,NA,"D5","HRM",61
2022-01-03,"15:24:00","D5","HRX",79
2022-01-03,"00:00:00","D5","HRN",43
2022-01-03,NA,"D5","PM",974.7
2022-01-03,"00:03:00","D5","PX",979
2022-01-03,"23:59:00","D5","PN",968.7
2022-01-03,NA,"D5","PPT",0
