"CODI_VARIABLE","NOM_VARIABLE","UNITAT","ACRÒNIM"
1000,"Temperatura mitjana diària","°C","TM"
1001,"Temperatura màxima diària + hora","°C","TX"
1002,"Temperatura mínima diària + hora","°C","TN"
1100,"Humitat relativa mitjana diària","%","HRM"
1101,"Humitat relativa màxima diària + data","%","HRX"
1102,"Humitat relativa mínima diària + data","%","HRN"
1200,"Pressió atmosfèrica mitjana diària","hPa","PM"
1201,"Pressió atmosfèrica màxima diària + hora","hPa","PX"
1202,"Pressió atmosfèrica mínima diària + hora","hPa","PN"
1300,"Precipitació acumulada diària","mm","PPT"
1400,"Irradiació solar global diària","MJ/m2","RS24h"
1503,"Velocitat mitjana diària del vent 10 m (esc.)","m/s","VVM10"
1509,"Direcció mitjana diària del vent 10 m (m. 1) ","°","DVM10"
1512,"Ratxa màxima diària del vent 10 m + hora ","m/s","VVX10"
1515,"Direcció de la ratxa màx. diària de vent 10 m","°","DVVX10"
